Domain,IP
gh.proxy.farelra.my.id,141.148.235.28
gh.proxy.farelra.my.id,129.153.229.125
gh.proxy.farelra.my.id,141.147.114.5
gh.proxy.farelra.my.id,130.162.171.223
gh.proxy.farelra.my.id,158.101.208.239
